Item;ACUSACION;ANIO_DENUNCIA;ANIO_HECHO;ATIPICIDAD_INEXISTENCIA;CAPTURA;CONDENA;CONEXO;DELITO;DEPARTAMENTO;ESTADO_NOTICIA;ETAPA;GRUPO_EDAD_VICTIMA;HECHO;HOMICIDIO_DOLOSO_CONSUMADO;IMPUTACION;LEY;MUNICIPIO;PAIS_NACIMIENTO;RUPTURA;SECCIONAL;SEXO_VICTIMA;TOTAL_VICTIMAS;Region;Nº_Habitantes
3325;SI;2021;2021;NO;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Antioquia;ACTIVO;JUICIO;ADULTEZ 29 - 59;SI;SI;SI;Ley 906;APARTADÓ;Colombia;NO;DIRECCIÓN SECCIONAL DE ANTIOQUIA;FEMENINO;1;Región Eje Cafetero - Antioquia;5974788
3326;SI;2021;2021;NO;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Antioquia;ACTIVO;JUICIO;SIN DATO;SI;NO;SI;Ley 906;APARTADÓ;Colombia;NO;DIRECCIÓN SECCIONAL DE ANTIOQUIA;FEMENINO;1;Región Eje Cafetero - Antioquia;5974788
3327;SI;2021;2021;NO;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Antioquia;ACTIVO;JUICIO;SIN DATO;SI;SI;SI;Ley 906;APARTADÓ;Colombia;NO;DIRECCIÓN SECCIONAL DE ANTIOQUIA;FEMENINO;1;Región Eje Cafetero - Antioquia;5974788
1785;NO;2022;2022;NO;SI;SI;NO;FEMINICIDIO ART. 104A C.P.;Antioquia;ACTIVO;EJECUCIÓN DE PENAS;ADULTEZ 29 - 59;SI;SI;SI;Ley 906;BARBOSA;Colombia;NO;DIRECCIÓN SECCIONAL DE MEDELLÍN;FEMENINO;1;Región Eje Cafetero - Antioquia;5974788
2257;SI;2017;2017;NO;SI;SI;NO;FEMINICIDIO ART. 104A C.P.;Antioquia;INACTIVO;EJECUCIÓN DE PENAS;JUVENTUD 18 - 28;SI;NO;SI;Ley 906;BARBOSA;Colombia;NO;DIRECCIÓN SECCIONAL DE MEDELLÍN;FEMENINO;1;Región Eje Cafetero - Antioquia;5974788
2518;SI;2018;2018;NO;SI;SI;NO;FEMINICIDIO ART. 104A C.P.;Antioquia;INACTIVO;EJECUCIÓN DE PENAS;ADULTEZ 29 - 59;SI;NO;SI;Ley 906;BARBOSA;Colombia;NO;DIRECCIÓN SECCIONAL DE MEDELLÍN;FEMENINO;1;Región Eje Cafetero - Antioquia;5974788
2526;SI;2018;2018;NO;SI;SI;NO;FEMINICIDIO ART. 104A C.P.;Antioquia;INACTIVO;EJECUCIÓN DE PENAS;JUVENTUD 18 - 28;SI;NO;SI;Ley 906;BARBOSA;Colombia;NO;DIRECCIÓN SECCIONAL DE MEDELLÍN;MASCULINO;1;Región Eje Cafetero - Antioquia;5974788
70;NO;2016;2015;NO;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Antioquia;ACTIVO;INDAGACIÓN;SIN DATO;SI;NO;NO;Ley 1098;BELLO;Colombia;NO;DIRECCIÓN SECCIONAL DE MEDELLÍN;FEMENINO;1;Región Eje Cafetero - Antioquia;5974788
256;NO;2017;2017;NO;NO;SI;NO;FEMINICIDIO ART. 104A C.P.;Antioquia;INACTIVO;EJECUCIÓN DE PENAS;SIN DATO;SI;NO;SI;Ley 906;BELLO;Colombia;NO;DIRECCIÓN SECCIONAL DE MEDELLÍN;FEMENINO;1;Región Eje Cafetero - Antioquia;5974788
530;NO;2019;2019;NO;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Antioquia;ACTIVO;INDAGACIÓN;ADULTEZ 29 - 59;SI;SI;NO;Ley 906;BELLO;N/A;NO;DIRECCIÓN SECCIONAL DE MEDELLÍN;FEMENINO;1;Región Eje Cafetero - Antioquia;5974788
